,Unnamed: 0,abstract,author,date,headline,section,source,word_count,id,candidate
22412,22412," Addressing the largest audience of his two-decade political career just weeks after his surprise pick as Romney's running mate, the Wisconsin congressman slipped easily into the traditional role of presidential understudy. Ryan was the night's featured speaker in a session that broadened the Republican attack to President Obama's defense and foreign policies and also gave voice to the frustrated Ron Paul wing of the party, with a speech by his son, Kentucky Sen. Rand Paul, that bared some of the tensions simmering just below the surface.","Barabak, Mark Z; Lauter, David",2012-08-30,ELECTION 2012 / THE REPUBLICAN NATIONAL CONVENTION; Ryan leads GOP assault; Mitt Romney's running mate delivers a warning - and a few specifics,Special Section; Part U; National Desk,Los Angeles Times,1397.0,22412,Romney
22419,22419," Mitt Romney paid $1.9 million in federal taxes in 2011 on income of $13.7 million, an effective rate of 14.1% that reflects the Republican presidential candidate's dividends, capital gains and other returns that are assessed at some of the lowest tax rates.","Vartabedian, Ralph; Barabak, Mark Z",2012-09-22,Romney reveals more on his taxes; He releases his 2011 return and an auditor's statement saying he paid more than 13% every year since 1990.,Main News; Part A; National Desk,Los Angeles Times,1107.0,22419,Romney
22421,22421," The center observes that any tax plan that meets Romney's specifications -- the cut in rates, preservation of investment incentives such as low capital gains rates, elimination of the alternative minimum tax and estate tax, and ""revenue neutrality"" (that is, no overall increase or decrease in tax revenue) -- would necessarily mean higher taxes for all taxpayers earning less than $200,000.","Hiltzik, Michael",2012-10-04,ELECTION 2012 / THE FIRST PRESIDENTIAL DEBATE; Decoding what the two candidates said,LATExtra; Part AA; National Desk,Los Angeles Times,747.0,22421,Romney
22429,22429," According to the latest Gallup figures, he leads Mitt Romney by 66% to 26% among registered Latinos, who could be the voters who make the difference in November in four of the eight must-win battleground states:","Jacoby, Tamar",2012-09-23,Romney crosses the immigration divide,Main News; Part A; Editorial Desk,Los Angeles Times,953.0,22429,Romney
22433,22433," Rent control and zoning laws were sustained in two 1920s Supreme Court decisions against the claim that they were unlawful takings of private property, and those rulings continue to be cited to this day as justification for denying rights to property owners.","Epstein, Richard",2012-10-30,Supreme importance; Romney would be more likely to appoint justices who understand the economic decisions facing the court.,Main News; Part A; Editorial Desk,Los Angeles Times,805.0,22433,Romney
22445,22445," Voter attitudes about the state of the economy have begun to improve, and enthusiasm about voting has risen among key blocs of Democratic-leaning voters, particularly Latinos. Since the beginning of the campaign, one assumption has served as the foundation for Romney's campaign: that voters deeply upset over the state of the economy would want to fire the incumbent enough to push aside any concerns about his challenger.","Lauter, David",2012-09-25,"CAMPAIGN 2012: NEWS ANALYSIS; Voters' shifting attitudes weaken Romney strategy; Polls suggest that fears about the economy are easing, and groups that lean Democratic are more fired up.",Main News; Part A; National Desk,Los Angeles Times,905.0,22445,Romney
22456,22456," [...]as long as Romney resists releasing his income tax returns for the years before 2010, he'll remain vulnerable to the charge that he's hiding something, even if it's only a string of years in which he made dizzyingly high amounts of money and paid impressively low tax rates. (Betting has swung toward Tim Pawlenty, the former governor of Minnesota, a conservative with an appealing blue-collar life story.) He could unveil a slimmed-down version of his unwieldy 59-point economic plan, as some advisors have proposed.","McMANUS, DOYLE",2012-07-15,The attack-dog days of summer,Main News; Part A; Editorial Desk,Los Angeles Times,937.0,22456,Romney
22464,22464," The audience at Lake Erie College, a mix of students and locals, was forced to wait in the rain longer than planned, as Romney stayed inside to watch television coverage of the return of the bodies of four Americans from Libya. The Republican vice presidential nominee opened his remarks at the Values Voter Summit in Washington by continuing to hammer the president for showing ""equivocation"" and ""mixed signals"" that he said had fueled anti-American rioting at diplomatic posts, leading in one case to the death of four American personnel in Libya, including Ambassador to Libya J. Christopher Stevens.","Landsberg, Mitchell; Memoli, Michael A",2012-09-15,"THE NATION; CAMPAIGN 2012; Ohio gives Romney warm response; Despite rain and wind, a crowd of a couple thousand rallies behind his five-point economic plan.",Main News; Part A; National Desk,Los Angeles Times,858.0,22464,Romney
22466,22466," Average inflation-adjusted, after-tax incomes of the richest 1% of U.S. households ballooned 275% from 1979 to 2007, according to an October report by the nonpartisan Congressional Budget Office.","Hamilton, Walter",2012-09-01,"PRESIDENTIAL RACE; A COMPLEX VIEW OF THE WEALTHY; Many don't resent Romney's fortune, though the public sees the rich as greedier and less honest, but also smarter and hard-working",Business; Part B; Business Desk,Los Angeles Times,798.0,22466,Romney
22487,22487," Both members of the Republican ticket, Mitt Romney and Rep. Paul D. Ryan (R-Wis.), have expressed great enthusiasm for the idea in the past; in 2004, Ryan even sponsored a bill in Congress that was so reliant on private accounts that it was rejected by the Bush White House as too extreme.","Hiltzik, Michael",2012-08-22,Social Security is under attack again,Business; Part B; Business Desk,Los Angeles Times,1230.0,22487,Romney
22508,22508," The fate of these Americans -- at the heart of the nation's tortured, decades-long debates over healthcare -- is now bound up with the outcome of the presidential election. The Republican nominee, former Massachusetts Gov. Mitt Romney, has pledged to repeal it, saying the law represents a ""political philosophy ... that government knows better than people how to run your lives.""","Levey, Noam N",2012-10-28,"Healthcare hangs in the balance; The presidential election may determine the fate of sick, uninsured Americans. The two candidates' intentions differ greatly.",Main News; Part A; National Desk,Los Angeles Times,1178.0,22508,Romney
22513,22513, Throw in platoons of khaki-uniformed police and there's about as much chance of a denizen of Romneyville penetrating the GOP sanctum as there is of Herman Cain addressing the convention Thursday night.,"Rainey, James",2012-08-30,ELECTION 2012 / THE REPUBLICAN NATIONAL CONVENTION; Way outside Romney's camp; Protesters near the convention don't want trouble. Just a new political system.,Special Section; Part U; National Desk,Los Angeles Times,653.0,22513,Romney
22516,22516,-,,2012-10-09,QUICK TAKES; Romney says no to Nickelodeon,Calendar; Part D; Entertainment Desk,Los Angeles Times,120.0,22516,Romney
22518,22518," Clint Eastwood's impact on Mitt Romney's campaign remains to be seen, but his digressive speech -- and the frenzied response to it -- will almost certainly be the most memorable media moment to emerge from what had been, until Thursday night, a Republican National Convention notable for its predictability.","Blake, Meredith",2012-09-01,Tough calls for media; The largely nonevent nature of conventions finds news groups struggling to hit on distinct coverage.,Calendar; Part D; Entertainment Desk,Los Angeles Times,836.0,22518,Romney
22523,22523," Romney kicked off the day voting with wife Ann at a community center near their Belmont home, and then joined close advisors, a son and a grandson aboard his campaign plane as he made appearances in Ohio and Pennsylvania to thank volunteers and make a final push to get supporters to vote.","Reston, Maeve; Mehta, Seema",2012-11-07,ELECTION 2012; Romney supporters' surety turns to dismay,Main News; Part A; National Desk,Los Angeles Times,631.0,22523,Romney
22525,22525," Speaking for himself rather than the party, Schumer drew on assessments from nonpartisan analysts that lowering tax rates for everyone, as GOP presidential nominee Mitt Romney has proposed, could result in higher taxes for households earning less than $200,000 because tax deductions that help the middle class would have to be eliminated.","Mascaro, Lisa",2012-10-10,Senators focus on reducing deficit; A bipartisan deal would avoid the 'fiscal cliff' of tax hikes and budget cuts.,Main News; Part A; National Desk,Los Angeles Times,550.0,22525,Romney
22530,22530," The legacy of Bush's administration -- the Iraq war, the increase in the federal debt burden and the nation's spiral into recession at the end of 2008 -- cast a long shadow over the last presidential contest and was a major factor in John McCain's loss to Barack Obama. Because of the unpopularity of Bush and Cheney, Romney has kept his distance -- never appearing publicly with either man during his 2012 campaign.","Reston, Maeve",2012-07-13,CAMPAIGN 2012; Fundraiser hosted by Cheney presents Romney a challenge,LATExtra; Part AA; National Desk,Los Angeles Times,889.0,22530,Romney
22534,22534," Republican National Committee Chairman Reince Priebus called the convention to order at 2 p.m. Two minutes later, he dropped the gavel on the day, thus presiding over quite possibly the most abbreviated convention day ever. Thanks to the newly elevated status of Rep. Paul D. Ryan, who will be nominated as Mitt Romney's running mate Wednesday, Badger State delegates have choice seats on the convention floor.","Abcarian, Robin; Mason, Melanie",2012-08-28,REPUBLICAN NATIONAL CONVENTION; A storm-shortened day; The first session lasts only two minutes. Delegates are still fired up.,Main News; Part A; National Desk,Los Angeles Times,839.0,22534,Romney
22544,22544," Ryan, the presumptive Republican vice presidential candidate under Romney, has taken a sharply conservative view on abortion in the past, saying he opposes it in all circumstances except to save the life of the mother -- a position that would outlaw abortion even in cases of rape or incest.","Landsberg, Mitchell; Finnegan, Michael; Memoli, Michael A",2012-08-23,Ryan plays down abortion exceptions; He calls Romney's less conservative views on the issue 'a good step in the right direction.',Main News; Part A; National Desk,Los Angeles Times,777.0,22544,Romney
22558,22558," Having been successful in business, governor of a very progressive state and having somehow secured the nomination of today's Republican Party, Mitt Romney should be perfectly positioned to use these foundations to lead with the convictions and daring ideas that might bridge our current partisan gaps (like his father). Preference programs are the real civil rights issue today: the quotas, subsidies and affirmative action laws for politically favored classes.",,2012-07-11,Father and son,Main News; Part A; Letters Desk,Los Angeles Times,1244.0,22558,Romney
22564,22564," At a second panel on jobs, donors will hear from Continental Resources Chairman Harold Hamm, a major donor and key member of Romney's energy task force; Sun Microsystems co-founder Scott McNealy; financier Charles Schwab; and Jimmy John Liautaud, chief executive of a sandwich chain (who began his business in a garage, as Romney likes to tell voters).","Reston, Maeve",2012-10-14,A Big Apple affair for GOP; Their nominee's top donors will enjoy a retreat as he debates the president nearby.,Main News; Part A; National Desk,Los Angeles Times,468.0,22564,Romney
22574,22574," (Republican presidential candidate Mitt Romney seemed to borrow that, consciously or unconsciously, when he exclaimed, in his own foreign policy speech a year later, ""This is America's moment!"") Clinton's forceful view of American power extends well beyond speeches.","Mann, James",2012-07-08,"Diplomat in chief; Hillary Clinton's standing has soared, as her views have remained constant.",Main News; Part A; Editorial Desk,Los Angeles Times,1242.0,22574,Romney
22580,22580," [...]Romney carefully avoided any direct warnings or aggressive language to suggest he intends to draw America into a new military conflict, a deeply unpopular notion after the two wars started by Bush.","Richter, Paul",2012-10-15,CAMPAIGN 2012; Romney foreign policy scuffle,Main News; Part A; National Desk,Los Angeles Times,1141.0,22580,Romney
22593,22593," Eric Fehrnstrom, a senior campaign advisor for Mitt Romney, said in an interview Monday that Romney agreed with Obama that the mechanism to enforce the so-called insurance mandate -- a provision modeled after the Massachusetts law Romney had signed as governor -- was a penalty and not a tax, a statement that runs counter to what the rest of the GOP has argued following the Supreme Court ruling Thursday.","Memoli, Michael A; Levey, Noam N",2012-07-03,"THE NATION; A point of divergence for GOP; Romney isn't joining the party chorus on the healthcare law's mandate. He thinks it's a penalty, not a tax, an advisor says.",Main News; Part A; National Desk,Los Angeles Times,631.0,22593,Romney
22595,22595," Former presidential candidate Rick Santorum and South Carolina Sen. Jim DeMint backed Akin one day after the final deadline passed for him to get off the ballot. The six-term congressman came under pressure to quit the race from the GOP's top tier: presidential nominee Mitt Romney, Senate Minority Leader Mitch McConnell of Kentucky, and Sen. John Cornyn of Texas, chairman of Senate campaign efforts.","Mascaro, Lisa",2012-09-27,Conservatives rally behind GOP Senate hopeful Akin,Main News; Part A; National Desk,Los Angeles Times,872.0,22595,Romney
22598,22598," Doesn't Mitt Romney's business-oriented pitch appeal to you as a small businessman? ""I don't think the Bain Capital record was such a good one,"" he said, adding that he doesn't approve of ""making your living out of loading companies up with debt and letting them go bankrupt.""","McMANUS, DOYLE",2012-09-12,Who's still undecided?,Main News; Part A; Editorial Desk,Los Angeles Times,779.0,22598,Romney
22615,22615," [...]there is a constant press for more money, largely because Romney and Obama declined to take public financing, which would have limited each to spending a $91.2-million public grant in the general election. ""Since the presidential public funding system has collapsed, effectively, because of nonuse, we have a system where candidates are spending an inordinate amount of time fundraising,"" said Larry Noble, president of Americans for Campaign Reform. (McCain accepted public financing for the general election; Obama did not.) In Republican circles, talk about Romney's campaign tactics has begun to morph from concern to alarm as polls show Obama pulling ahead in some key swing states.\n","Mehta, Seema; Landsberg, Mitchell",2012-09-20,THE NATION; CAMPAIGN 2012; Romney's light schedule raises GOP concerns,Main News; Part A; National Desk,Los Angeles Times,1124.0,22615,Romney
22619,22619,-,,2012-09-17,NATIONAL BRIEFING; COLORADO; Romney forced to cancel event,Main News; Part A; National Desk,Los Angeles Times,129.0,22619,Romney
22621,22621," In reacting to the killing of the U.S. ambassador to Libya and three other Americans, President Obama, Secretary of State Hillary Rodham Clinton and some Republican members of Congress appropriately focused on mourning the dead and honoring their patriotism.",,2012-09-13,Romney's opportunism; His statement on the anti-U.S. violence in Libya and Egypt was outrageous and ill-conceived.,Main News; Part A; Editorial Desk,Los Angeles Times,457.0,22621,Romney
22632,22632," For Republican presidential nominee Mitt Romney, such aid represents government run amok, allowing bureaucrats to pick winners and losers in renewable energy rather than letting the free market sort them out. Romney's energy plan, released as a white paper in August, would de-emphasize wind and solar development in favor of more aggressive pursuit of fossil fuels.\n","Halper, Evan",2012-10-11,CAMPAIGN 2012; Clean-energy players fret; California's rapidly growing industry worries a Romney win would strip it of key federal subsidies.,Main News; Part A; Metro Desk,Los Angeles Times,1316.0,22632,Romney
22652,22652," The afternoon meeting was held behind an unmarked door in one of the hotel's dining rooms, just one floor above the Grand Ballroom, where 1,000 donors and fundraisers for the Republican's presidential campaign had gathered earlier in the day to listen to officials discuss the strategy for the final three weeks of the presidential race.","Reston, Maeve; Gold, Matea",2012-10-17,THE NATION; Big donors meet with 'super PAC'; The meeting after a Romney strategy session suggests his campaign has close ties to the group.,Main News; Part A; National Desk,Los Angeles Times,816.0,22652,Romney
22666,22666, [...]my husband and I benefit from one more federal entitlement -- except it's not aimed at the elderly or the struggling.,"Dugan, Judy",2012-09-19,How we earned Romney's scorn,Main News; Part A; Editorial Desk,Los Angeles Times,797.0,22666,Romney
22670,22670," Moments like this, which took place Friday night on a high school football field, are in keeping with Ryan's recent lower profile, which contrasts sharply with his first days on the campaign trail.","Semuels, Alana",2012-10-29,THE NATION; Ryan steps out of the spotlight; He lowers his conservative profile as Romney takes a more moderate tack.,Main News; Part A; National Desk,Los Angeles Times,955.0,22670,Romney
22677,22677," Though he was criticized for a lack of diversity in his judicial appointments, half of his top advisors were women, ranking Massachusetts ahead of the other 49 states, according to a 2004 study by the Center for Women in Government & Civil Society at the University at Albany.\n","Reston, Maeve",2012-07-08,"CAMPAIGN 2012; Romney low-key on civil rights; In contrast to his father's active role in the '60s, he has said little on the issue.",Main News; Part A; National Desk,Los Angeles Times,1569.0,22677,Romney
22693,22693," The feminist group Code Pink protested outside the Republican National Convention wearing vagina costumes, while on the dais, Ann Romney proclaimed, ""I love women!"" The fight for women's votes is both retro and increasingly heated. Naomi Wolf's ""Vagina: A New Biography"" has a title that is plain and provocative. Since the publication of ""The Beauty Myth"" in 1991, Wolf has been something of a cultural lightning rod.","Kellogg, Carolyn",2012-09-09,FALL ARTS: BOOKS; The big deal about women; The time is right for two books on female identity,Sunday Calendar; Part E; Calendar Desk,Los Angeles Times,943.0,22693,Romney
22699,22699," Hurricane Isaac caused the GOP to cancel the first day of the convention and forced Mitt Romney's strategists to scrupulously weigh each moment, knowing that scenes from the arena would play alongside images of the natural disaster. Patrick J. Buchanan lit up the hall at the 1992 Republican convention with his thundering declaration of a ""culture war,"" but in the process set a torch to President George H.W. Bush's campaign.","Barabak, Mark Z",2012-08-29,"ELECTION 2012 / THE REPUBLICAN NATIONAL CONVENTION; NEWS ANALYSIS; A warm glow, then a burst of flame; The would-be first lady and New Jersey's fiery governor strike complementary tones.",Special Section; Part U; National Desk,Los Angeles Times,828.0,22699,Romney
22700,22700," Christie, the tough-talking Jersey pol who rejected repeated urgings to enter this year's presidential race -- and who many analysts are convinced is already maneuvering for a future national run -- was chosen by Romney to deliver the evening-ending keynote address, a convention staple that typically features some of the most combative rhetoric of the entire event. The socially conservative former Pennsylvania senator assailed Obama's election-year executive actions to spare some young illegal immigrants from deportation and allow states to seek waivers from the federal welfare law that Santorum helped draft.","West, Paul",2012-08-29,"ELECTION 2012 / THE REPUBLICAN NATIONAL CONVENTION; A Romney milestone; He's the first Mormon nominee, but focus is on wife",Special Section; Part U; National Desk,Los Angeles Times,1352.0,22700,Romney
22719,22719," [...]in May his name was lifted into the headlines when Republican presidential nominee Mitt Romney's wife, Ann, wore a $990 Reed Krakoff bird print shirt for one of her TV interviews and was labeled out of touch.) In a palette of nude, blush, washed-out beige and rose, Krakoff's spring collection was kinky modern, boudoir sporty, provocative but not raunchy. The look was haute-workwear-meets-baroque-Bedouin: utilitarian-looking railroad-stripe or khaki cotton jackets with gathered peplums and two-way zipper details; Deco beaded silk pants; blazers and halter dresses with gold fringe neck scarves attached; ma- crame fringe skirts and draped ""scarf dresses"" with scalloped embroidery or rich crystal embellishment.","Moore, Booth",2012-09-16,"{ THE RUNWAYS: NEW YORK }; FASHION CRITIC; Domains daring and digital; Graphic lines, e-produced prints and uncluttered designs speak loudest on the spring 2013 runways at New York Fashion Week",Image; Part P; Features Desk,Los Angeles Times,1034.0,22719,Romney
22720,22720, [...]10 weeks before the election Romney remains an enigma to many Americans. --,"Reston, Maeve",2012-08-26,REPUBLICAN NATIONAL CONVENTION; Image gap; The Romney we see on the campaign trail doesn't seem to be the one revered by friends and colleagues,Main News; Part A; National Desk,Los Angeles Times,2021.0,22720,Romney
22726,22726," ""Gov. Romney has been talking all year about his record as a successful governor in a blue state, working with an 85% Democratic Legislature to pass 19 tax cuts, balance the state's budget and raise its credit rating, and bring down unemployment,"" said advisor Ed Gillespie. During the primaries, Romney supported conservative views on immigration, describing as a ""model"" the controversial Arizona crackdown that has since largely been struck down by the Supreme Court, and aligning himself with the likes of Kansas Secretary of State Kris Kobach, one of the nation's most conservative voices on immigration policy.","Mehta, Seema",2012-10-16,THE NATION; Romney the moderate plans to stay the course; His softened rhetoric has been a strength since the primaries ended. The next debate could test it.,Main News; Part A; National Desk,Los Angeles Times,864.0,22726,Romney
22727,22727," [...]he has rarely spoken specifically about how he would replace it, and until recently rarely talked about his signature accomplishment in Massachusetts -- the health plan that came to serve as a model for President Obama's Patient Protection and Affordable Care Act.","Landsberg, Mitchell",2012-10-07,"CAMPAIGN 2012: HEALTHCARE; Both sides face challenge; For Romney, the issue has been a recurring headache as he seeks to articulate his position.",Main News; Part A; National Desk,Los Angeles Times,1174.0,22727,Romney
22730,22730," Romney's campaign has posted more ambitious goals for Afghanistan on its website: eliminating Al Qaeda from the region, degrading the Taliban and other insurgent groups, and ensuring ""that Afghanistan will never again become a launching pad for terror.""","Reston, Maeve",2012-10-21,"Romney facing test on war and peace; Ahead of Monday's foreign policy debate, he's been wary of getting too specific.",Main News; Part A; National Desk,Los Angeles Times,1147.0,22730,Romney
22735,22735," At the Democratic National Convention, Schweitzer slammed Mitt Romney during a prime-time speech for a record hostile to gun owners. The Democratic presidential primary electorate is not interested in that message,"" said Bowen Greenwood, the state Republican Party executive director.","Gouras, Matt",2012-10-21,Montana's Gov. Schweitzer creates buzz his own way,Main News; Part A; News Desk,Los Angeles Times,972.0,22735,Romney
22737,22737," Abandoning his trademark caution, Mitt Romney selected Rep. Paul D. Ryan of Wisconsin as his running mate Saturday in a move that reframed the presidential race as an ideological battle over the size of government and the fate of Medicare, the popular healthcare program for seniors.","Mehta, Seema; Reston, Maeve",2012-08-12,"CAMPAIGN 2012: ROMNEY PICKS RYAN; Decision reframes race as a battle of ideologies; Medicare, government size stand to be central issues",Main News; Part A; National Desk,Los Angeles Times,1117.0,22737,Romney
22738,22738," [...]less than two months after the actor-director's infamous ""Empty Chair"" speech at the Republican National Convention in Tampa, Fla., Eastwood is back supporting Gov. Mitt Romney in a new adver- tisement backed by the ""super PAC"" American Crossroads.","Horn, John",2012-10-25,Eastwood in pro-Romney ad; The actor lends his voice and face to a 'super PAC' spot for the Republican.,Calendar; Part D; Entertainment Desk,Los Angeles Times,294.0,22738,Romney
22747,22747," Martin Amis, once dubbed ""fiction's angriest writer,"" continues dissecting the absurdity and excesses of postmodern society in his latest novel, ""Lionel Asbo: State of England,"" which reaches bookstores Aug. 21. [...]what's going on in America is, I think, really alarming, the idea that there's Mitt Romney having a fundraiser in Jerusalem with, sitting on his right, a casino billionaire [Sheldon Adelson] who has famously hawkish views about Israel, because he's going to give him $100 million toward his campaign.","Lacher, Irene",2012-08-12,THE SUNDAY CONVERSATION; Against shamelessness,Sunday Calendar; Part D; Calendar Desk,Los Angeles Times,1239.0,22747,Romney
22758,22758," [...]he vowed to cut funding for the Public Broadcasting System, eliminate the number of government employees through attrition, combine some federal agencies and apply a simple test to federal spending: ""Is the program so critical it's worth borrowing money from China to pay for it?"" Romney took part in 19 debates during the primary season, turning in several strong performances when his candidacy was imperiled, and he spent months rehearsing for Wednesday night.","Barabak, Mark Z",2012-10-04,"ELECTION 2012 / THE FIRST PRESIDENTIAL DEBATE; Divided they stand; Rivals differ sharply but politely on taxes, Medicare.",LATExtra; Part AA; National Desk,Los Angeles Times,1310.0,22758,Romney
22760,22760," Former Minnesota Gov. Tim Pawlenty, a onetime Republican presidential candidate who was considered a finalist to be Mitt Romney's running mate, has been named the head of a leading bank lobbying group.","Puzzanghera, Jim",2012-09-21,Ex-Minnesota Gov. Pawlenty to head bank lobbying group,Business; Part B; Business Desk,Los Angeles Times,547.0,22760,Romney
22764,22764," The presumed Republican nominee spent Thursday in a round of meetings with current and former British leaders, but he was met with questions from both the British and American press about his comment Thursday night to ""NBC Nightly News"" anchor Brian Williams that some of the early Olympic reports had been ""disconcerting.","Reston, Maeve",2012-07-27,CAMPAIGN 2012; Press seizes on Olympic remarks; Mitt Romney arrives in London facing questions about some comments he had about the Games.,Main News; Part A; National Desk,Los Angeles Times,912.0,22764,Romney
22766,22766," Democratic donors have been reluctant to embrace the outside groups that proliferated after a string of federal court decisions in 2010, including the Supreme Court's ruling in the Citizens United case. [...]they are less helpful when it comes to advocating for Romney's candidacy. ""Because outside groups cannot coordinate, the candidate cannot speak directly for himself in ads run by his allies,"" said Todd, the GOP ad maker, who is not affiliated with the Romney campaign.","Mason, Melanie; Gold, Matea",2012-09-22,Outside money is a mixed blessing,Main News; Part A; National Desk,Los Angeles Times,957.0,22766,Romney
22774,22774," Nu Skin Enterprises, a Utah-based distributor of nutritional supplements and beauty products, would sponsor the 2002 Olympic Winter Games and the U.S. Olympic Team in a deal worth $20 million. Richard Pound, then the head of the newly formed World Anti-Doping Agency, told the Wall Street Journal in 2002 that he had warned Salt Lake organizers to reject the sponsorship.","Gold, Matea; Mason, Melanie",2012-08-25,CAMPAIGN 2012; Supplement ties benefit Romney,Main News; Part A; National Desk,Los Angeles Times,1607.0,22774,Romney
22782,22782," Romney's choice of Rep. Paul D. Ryan of Wisconsin as his running mate particularly excited this group, because he was the architect of the House GOP budget, which makes steep cuts in federal spending and converts Medicare's health safety net for seniors into an optional voucher program.","Mascaro, Lisa",2012-08-30,ELECTION 2012 / THE REPUBLICAN CONVENTION; It's just not their kind of party; Many GOP House freshmen elected as tea partyers have chosen not to attend.,Special Section; Part U; National Desk,Los Angeles Times,749.0,22782,Romney
22788,22788," The New York Times recently reported on a memo by a group of Romney legal advisors urging him, if elected, to rescind an executive order issued by Obama that bans ""enhanced interrogation techniques"" not permitted by the Army Field Manual.",,2012-10-03,"On torture, Romney's wrong",Main News; Part A; Editorial Desk,Los Angeles Times,344.0,22788,Romney
22789,22789," The members of the Republican presidential ticket argue that giving seniors vouchers to shop for a private insurance plan would spark competition among health insurers, holding down costs and ensuring the long-term viability of Medicare. Under the president's plan, Medicare's main trust fund is still projected to begin running in the red in 2024 as baby boomers flood the program and their medical bills outpace the payroll taxes that finance benefits.","Levey, Noam N",2012-08-19,"Republicans' Medicare plan has risks; Romney and Ryan say they'll preserve the program, but experts say their proposal is still a gamble.",Main News; Part A; National Desk,Los Angeles Times,1186.0,22789,Romney
22798,22798," Highlight the final night of the Republican National Convention with a surprise appearance by that long, tall drink of gritty Americana, Clint Eastwood. The beloved movie star and filmmaker surely would confer some of his abundant credibility on the Republican presidential nominee, still trying after six years of running for the White House to persuade some voters of his authenticity.","Rainey, James",2012-09-01,"CAMPAIGN 2012; Good, bad or ugly?; Eastwood didn't exactly make Team Romney's day",Main News; Part A; National Desk,Los Angeles Times,833.0,22798,Romney
22799,22799," Mitt Romney's record as governor of Massachusetts was the focal point of presidential campaign sparring on Saturday, with the GOP nominee boasting that he worked across the aisle to close a multibillion-dollar budget gap and President Obama arguing that his tenure benefited the wealthy at the expense of the middle class.","Mehta, Seema; Memoli, Michael A",2012-10-28,Romney's record as governor is debated,Main News; Part A; National Desk,Los Angeles Times,899.0,22799,Romney
22802,22802," The doctor, who is part of Massachusetts General's general and gastrointestinal surgery department, listed several medical conditions for Romney: hyperlipidemia with stable, mild triglyceride elevation at 179 (a slightly high amount of fat in the blood); minimally symptomatic benign prostatic hypertrophy (a mild enlargement of the prostate); and sinus bradycardia (a lower-than-average base line heart rate), but said Romney's condition was without palpitations, chest pain or shortness of breath.","Reston, Maeve",2012-09-22,"Romney called fit, healthy",Main News; Part A; National Desk,Los Angeles Times,747.0,22802,Romney
22804,22804," Pat Buchanan's ""culture war"" speech to the 1992 GOP convention, intended to fire up disillusioned conservatives, wound up turning off moderate voters and contributed to President George H.W. Bush's reelection defeat that year. Romney attracted support from just 28% of Latino voters in a recent NBC-Wall Street Journal-Telemundo poll, with a plurality expressing negative feelings about the Republican Party.","West, Paul",2012-08-27,Factional storm looms for the GOP; The party could face a civil war fanned by ideological splits on issues like gay rights and immigration.,Main News; Part A; National Desk,Los Angeles Times,1407.0,22804,Romney
22809,22809," The message, of course, was that frugality was the new watchword of the organization, which had been battered by revelations that Salt Lake City officials had showered more than $1 million in gifts on International Olympic Committee members in their effort to land the 2002 Winter Games. ""The Mitt on the campaign trail is not the Mitt I knew as the leader of the Olympics,"" said Randy Dryer, a Democratic lawyer who served on the 53-member Salt Lake Olympic Committee board of trustees.","Gold, Matea",2012-07-27,CAMPAIGN 2012; A finer Olympic moment for Romney,Main News; Part A; National Desk,Los Angeles Times,1440.0,22809,Romney
22823,22823, [...]its shock value derives from the legerdemain of focusing solely on the federal income tax.,"Hiltzik, Michael",2012-09-19,Debunking Romney's attack on those who 'pay no income tax',Business; Part B; Business Desk,Los Angeles Times,1273.0,22823,Romney
22843,22843," The restriction may spell bad news for Mitt Romney and his supporters, who point to Romney's stewardship of the 2002 Salt Lake City Olympics as a key biographical selling point in his presidential campaign.","Mason, Melanie; Mestel, Rosie; Maugh, Thomas H, II; Hsu, Tiffany",2012-07-29,From Our Blogs,Main News; Part A; News Desk,Los Angeles Times,912.0,22843,Romney
22850,22850, Former House Speaker Newt Gingrich broke with Mitt Romney and other Republican leaders Sunday by defending the right of Missouri Rep. Todd Akin to stay in the Senate race despite his widely condemned remarks on rape and pregnancy.,"Finnegan, Michael",2012-09-03,Gingrich comes to the defense of Rep. Akin; He says the Senate candidate apologized for his rape remark and has every right to stay in the race.,Main News; Part A; National Desk,Los Angeles Times,435.0,22850,Romney
22857,22857," Federal Reserve Chairman Ben S. Bernanke defended the central bank's efforts to stimulate the economy, even as Republican presidential candidate Mitt Romney criticized those steps and said that, if elected, he wouldn't reappoint Bernanke to the post.","Puzzanghera, Jim",2012-08-25,Fed chief Bernanke defends efforts to stimulate economy; His response comes amid Mitt Romney's remarks that he would want a new chief.,Business; Part B; Business Desk,Los Angeles Times,533.0,22857,Romney
22859,22859," [...]while there are incipient signs of a housing recovery, with foreclosures down and even some improvement in home values, experts say it may be decades before the state's devastated real estate market and construction industry fully mend.","Barabak, Mark Z",2012-09-23,CAMPAIGN 2012: THE BATTLEGROUNDS; It isn't all economics in Nevada; Voters' party loyalty and other concerns appear to put Romney at a disadvantage.,Main News; Part A; National Desk,Los Angeles Times,1234.0,22859,Romney
22864,22864," Newt Gingrich, a former college professor, schooled delegates during daily two-hour classes called ""Newt U,"" a reprise of the part -- academic and historian -- he relished playing on the campaign trail during his unsuccessful primary run.","Mehta, Seema",2012-08-31,"ELECTION 2012 / THE REPUBLICAN NATIONAL CONVENTION; The party's also-rans strive to remain relevant; Almost all say they endorse Romney, but some seem to have their own ambitions.",Special Section; Part U; National Desk,Los Angeles Times,813.0,22864,Romney
